"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"2.4.6 Openbaar gezag misdrijf (overig)";"2016";"Enschede";5
"2.4.6 Openbaar gezag misdrijf (overig)";"2017";"Enschede";15
"2.4.6 Openbaar gezag misdrijf (overig)";"2018*";"Enschede";5
"2.4.6 Openbaar gezag misdrijf (overig)";"2019*";"Enschede";5
"3 Gewelds- en seksuele misdrijven";"2010";"Enschede";1420
"3 Gewelds- en seksuele misdrijven";"2011";"Enschede";1335
"3 Gewelds- en seksuele misdrijven";"2012";"Enschede";1300
"3 Gewelds- en seksuele misdrijven";"2013";"Enschede";1185
"3 Gewelds- en seksuele misdrijven";"2014";"Enschede";1035
"3 Gewelds- en seksuele misdrijven";"2015";"Enschede";895
"3 Gewelds- en seksuele misdrijven";"2016";"Enschede";930
"3 Gewelds- en seksuele misdrijven";"2017";"Enschede";900
"3 Gewelds- en seksuele misdrijven";"2018*";"Enschede";895
"3 Gewelds- en seksuele misdrijven";"2019*";"Enschede";830
"3.1 Mishandeling";"2010";"Enschede";780
"3.1 Mishandeling";"2011";"Enschede";705
"3.1 Mishandeling";"2012";"Enschede";685
"3.1 Mishandeling";"2013";"Enschede";615
"3.1 Mishandeling";"2014";"Enschede";570
"3.1 Mishandeling";"2015";"Enschede";470
"3.1 Mishandeling";"2016";"Enschede";470
"3.1 Mishandeling";"2017";"Enschede";465
"3.1 Mishandeling";"2018*";"Enschede";460
"3.1 Mishandeling";"2019*";"Enschede";405
"3.2 Bedreiging en stalking";"2010";"Enschede";440
"3.2 Bedreiging en stalking";"2011";"Enschede";455
"3.2 Bedreiging en stalking";"2012";"Enschede";455
"3.2 Bedreiging en stalking";"2013";"Enschede";420
"3.2 Bedreiging en stalking";"2014";"Enschede";330
"3.2 Bedreiging en stalking";"2015";"Enschede";280
"3.2 Bedreiging en stalking";"2016";"Enschede";310
"3.2 Bedreiging en stalking";"2017";"Enschede";255
"3.2 Bedreiging en stalking";"2018*";"Enschede";245
"3.2 Bedreiging en stalking";"2019*";"Enschede";265
"3.2.1 Bedreiging";"2010";"Enschede";400
"3.2.1 Bedreiging";"2011";"Enschede";425
"3.2.1 Bedreiging";"2012";"Enschede";430
"3.2.1 Bedreiging";"2013";"Enschede";405
"3.2.1 Bedreiging";"2014";"Enschede";310
"3.2.1 Bedreiging";"2015";"Enschede";265
"3.2.1 Bedreiging";"2016";"Enschede";290
"3.2.1 Bedreiging";"2017";"Enschede";245
"3.2.1 Bedreiging";"2018*";"Enschede";225
"3.2.1 Bedreiging";"2019*";"Enschede";245
"3.2.2 Stalking";"2010";"Enschede";40
"3.2.2 Stalking";"2011";"Enschede";35
"3.2.2 Stalking";"2012";"Enschede";30
"3.2.2 Stalking";"2013";"Enschede";20
"3.2.2 Stalking";"2014";"Enschede";20
"3.2.2 Stalking";"2015";"Enschede";20
"3.2.2 Stalking";"2016";"Enschede";20
"3.2.2 Stalking";"2017";"Enschede";15
"3.2.2 Stalking";"2018*";"Enschede";20
