Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2010;0-17;281
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2010;0-17;45
Buurt 97   Boekelerveld;BU01530907;Enschede;2010;0-17;160
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2010;0-17;49
Buurt 00   City;BU01530000;Enschede;2011;0-17;83
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2011;0-17;226
Buurt 02   De Laares;BU01530002;Enschede;2011;0-17;395
Buurt 03   De Bothoven;BU01530003;Enschede;2011;0-17;538
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2011;0-17;441
Buurt 05   Getfert;BU01530005;Enschede;2011;0-17;520
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2011;0-17;294
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2011;0-17;377
Buurt 08   Boddenkamp;BU01530008;Enschede;2011;0-17;45
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2011;0-17;797
Buurt 11   Wooldrik;BU01530101;Enschede;2011;0-17;278
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2011;0-17;538
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2011;0-17;811
Buurt 14   Sleutelkamp;BU01530104;Enschede;2011;0-17;137
Buurt 15   't Weldink;BU01530105;Enschede;2011;0-17;2
Buurt 16   De Leuriks;BU01530106;Enschede;2011;0-17;27
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2011;0-17;390
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2011;0-17;725
Buurt 22   Pathmos;BU01530202;Enschede;2011;0-17;409
Buurt 23   Stevenfenne;BU01530203;Enschede;2011;0-17;1017
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2011;0-17;272
